Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_03.raw
O54916;O54916-3;O54916-4	O54916;O54916-3;O54916-4	REPS1_MOUSE	Reps1	RalBP1-associated Eps domain-containing protein 1	397790	484403	530839	202700	383275	294610	200060	394901	528664	373622	337354	326631	896640	908274	919870	1.01124e+06	919996	961237
O54926	O54926	SIVA_MOUSE	Siva1	Apoptosis regulatory protein Siva					57109.6								536292	229044	549618	518804	399465	568978
O54931-2	O54931;O54931-2;O54931-3;O54931-4;O54931-5	AKAP2_MOUSE	Akap2	Isoform 2 of A-kinase anchor protein 2	3.13557e+06	2.44102e+06	3.14431e+06	1.68526e+06	1.54312e+06	2.18437e+06	2.70979e+06	2.49808e+06	2.88152e+06	2.50889e+06	1.42059e+06	2.30812e+06	4.10522e+06	4.58545e+06	4.50447e+06	4.39197e+06	4.77274e+06	4.69331e+06
O54940	O54940;Q8BHE3	BNIP2_MOUSE	Bnip2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2		303841	324811		152815		243647	286424	290896		123299		351159	283448	287700	295972	273460	290146
O54941	O54941	SMCE1_MOUSE	Smarce1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	1.75199e+06	958819	512251	2.62738e+06	1.99941e+06	836577	2.87532e+06	1.12849e+06	625215	2.84382e+06	2.11063e+06	1.16653e+06	4.52702e+06	4.81882e+06	4.36298e+06	4.4906e+06	4.85664e+06	4.23124e+06
O54941;P46460	P46460;O54941	NSF_MOUSE;SMCE1_MOUSE	Nsf;Smarce1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	1.06063e+06	922891	727106	1.58201e+06	593195	596740	948819	706866	756040	656877	379191	476225	651204	369217	745800	545878	613553	448656
O54946	O54946	DNJB6_MOUSE	Dnajb6	DnaJ homolog subfamily B member 6	2.18361e+07	1.59779e+07	1.33064e+07	9.67316e+07	6.57924e+07	1.4712e+07	2.00264e+07	1.74468e+07	1.30255e+07	1.04538e+08	5.95131e+07	1.86856e+07	1.46839e+06	2.14267e+06	2.25468e+06	1.57916e+06	1.59273e+06	2.19443e+06
O54946;O54946-2	O54946;O54946-2;Q9QYI8	DNJB6_MOUSE	Dnajb6	DnaJ homolog subfamily B member 6	6.34391e+06	4.69893e+06	3.04375e+06	2.18706e+07	1.51686e+07	4.71455e+06	6.10099e+06	3.71218e+06	2.96217e+06	2.20687e+07	1.30247e+07	4.47784e+06	892723	694585	437044	844539	640806	649251
O54946;O54946-2;Q9QYI5;Q9QYI5-1	Q9QYI5;Q9QYI5-1;Q9QYI5-2;O54946;O54946-2	DNJB2_MOUSE;DNJB6_MOUSE	Dnajb2;Dnajb6	DnaJ homolog subfamily B member 6	849737	923374	749775	1.63125e+06	1.08282e+06	317693	542871	964027	730043	2.00566e+06	1.17702e+06	437812	9440.02	117596	156982	83216.3	122989	192781
O54950	O54950;Q91WG5;Q91WG5-2	AAKG1_MOUSE	Prkag1	5'-AMP-activated protein kinase subunit gamma-1	1.86863e+06	1.00229e+06	440963	1.52345e+06	1.48884e+06	1.03823e+06	1.47024e+06	1.24604e+06	615134	2.38747e+06	1.43225e+06	894543	4.2556e+06	3.60857e+06	4.02732e+06	4.41786e+06	3.56026e+06	4.29772e+06
O54956	O54956	DPOE2_MOUSE	Pole2	DNA polymerase epsilon subunit 2													484835	591625	617500	825284	634288	596513
O54962	O54962	BAF_MOUSE	Banf1	Barrier-to-autointegration factor	183941	549480	546085	408599	415969	401793		482909	553420	269245	904210	592922	1.10457e+06	846675	1.51187e+06	675920	957883	1.64277e+06
O54965	O54965;O54965-2	RNF13_MOUSE	Rnf13	E3 ubiquitin-protein ligase RNF13	7.79198e+06	3.81577e+06	3.34378e+06		9.91103e+06	114528	6.78121e+06	3.91573e+06	3.61963e+06				506207	504986	285234	475111	426779	353513
O54967;O54967-2;O54967-3	O54967;O54967-2;O54967-3	ACK1_MOUSE	Tnk2	Activated CDC42 kinase 1	514991	369313	674487				508323	436908	660672		151696	63716	103620	127845	439207	359747	367321	495698
O54984	O54984	GET3_MOUSE	Get3	ATPase GET3	1.89524e+07	1.67966e+07	1.67757e+07	2.96641e+07	2.85071e+07	2.97309e+07	1.92964e+07	2.01513e+07	1.68269e+07	2.89451e+07	3.19776e+07	2.6932e+07	3.08527e+07	2.66724e+07	2.87145e+07	3.20277e+07	2.58651e+07	2.81971e+07
O54988;O54988-2	O54988;O54988-2	SLK_MOUSE	Slk	STE20-like serine/threonine-protein kinase	660403	451680	415168	1.21138e+06		80599.1	919294	491436	439303	485690	598033		3.2189e+06	3.06431e+06	3.22983e+06	2.82762e+06	2.80445e+06	3.31606e+06
O54988;O54988-2;O55098	O54988;O54988-2;O55098	SLK_MOUSE;STK10_MOUSE	Slk;Stk10	STE20-like serine/threonine-protein kinase										2.329e+06			5.49972e+06	5.10429e+06	5.90087e+06	6.2479e+06	5.18652e+06	5.72971e+06
O54991	O54991	CNTP1_MOUSE	Cntnap1	Contactin-associated protein 1	988230	1.26132e+06	877048	3.92106e+06	2.24473e+06	4.52673e+06	421938	651071	571914	2.42453e+06	1.97686e+06	3.10628e+06	1.46545e+06	970062	802815	1.37132e+06	1.3921e+06	807336
O54992;O54992-2;O54992-3;O54992-4;O54992-5	O54992;O54992-2;O54992-3;O54992-4;O54992-5	MAPK5_MOUSE	Mapkapk5	MAP kinase-activated protein kinase 5	2.57914e+06	2.15917e+06	2.14174e+06	3.57377e+06	1.43678e+06	3.49244e+06		2.57818e+06	2.73588e+06	3.70726e+06	3.63158e+06	3.10951e+06	1.17994e+07	1.03938e+07	3.79021e+06	1.09259e+07	9.37118e+06	4.06646e+06
O54998	O54998	FKBP7_MOUSE	Fkbp7	Peptidyl-prolyl cis-trans isomerase FKBP7	1.66585e+06	2.92197e+06	2.55372e+06	730574	819907	1.58987e+06	2.07777e+06	2.445e+06	2.5333e+06	761086	982414	954863	1.82329e+06	2.64808e+06	2.48876e+06	2.58659e+06	2.6028e+06	2.41688e+06
O55003	O55003	BNIP3_MOUSE	Bnip3	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	1.38372e+06	2.10408e+06	1.33689e+06	502025	496216	771805	1.75716e+06	1.53843e+06	1.64558e+06	868832	1.02519e+06	560326	67251.4	53519.8	134516	123575	31706	88932.5
O55013	O55013	TPPC3_MOUSE	Trappc3	Trafficking protein particle complex subunit 3	540354		162886	328386		315823	1.01487e+06	674944		312569			1.01098e+06	960814	1.42261e+06	1.17342e+06	777800	1.47926e+06
O55022	O55022	PGRC1_MOUSE	Pgrmc1	Membrane-associated progesterone receptor component 1	1.10467e+07	1.7398e+07	1.6322e+07	1.34483e+07	9.58739e+06	2.37363e+07	9.40838e+06	1.58943e+07	1.63138e+07	1.36052e+07	7.65731e+06	2.32543e+07	9.43914e+06	1.29394e+07	1.50713e+07	9.41938e+06	1.32858e+07	1.5882e+07
O55023	O55023	IMPA1_MOUSE	Impa1	Inositol monophosphatase 1	1.68702e+06	1.07471e+06	836245	2.23414e+06	1.13582e+06	657099	1.23286e+06	483826	815359	978913	977119	464517	8.33837e+06	6.25803e+06	7.58347e+06	7.91262e+06	5.74049e+06	7.24056e+06
O55028	O55028	BCKD_MOUSE	Bckdk	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	2.39557e+07	2.7307e+07	2.65362e+07	2.85006e+07	3.5653e+07	3.49446e+07	2.19788e+07	2.86197e+07	2.63561e+07	3.00473e+07	3.64816e+07	3.69081e+07	4.95757e+06	4.39259e+06	4.14521e+06	4.99346e+06	4.83309e+06	4.14849e+06
O55029	O55029	COPB2_MOUSE	Copb2	Coatomer subunit beta'	7.44639e+06	4.53596e+06	3.95428e+06	6.50014e+06	3.54176e+06	2.30376e+06	7.33874e+06	4.79851e+06	3.63036e+06	6.47095e+06	3.06118e+06	2.4269e+06	1.58629e+07	1.30901e+07	1.53814e+07	1.56596e+07	1.28095e+07	1.5195e+07
O55047;O55047-3	O55047;O55047-2;O55047-3	TLK2_MOUSE	Tlk2	Serine/threonine-protein kinase tousled-like 2		1.34261e+06	768335						744427		56794.9	703503	973921	474497	676688	817041	619324	538965
O55057	O55057	PDE6D_MOUSE	Pde6d	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	853749			359257	371454	290889	720635	468785	156765	904928	773808	316030	1.59517e+06	1.20246e+06	1.14241e+06	1.14238e+06	1.10714e+06	1.19823e+06
O55091	O55091	IMPCT_MOUSE	Impact	Protein IMPACT							508715						1.10641e+06	417520	1.0799e+06	483312	608827	1.18842e+06
O55098	O55098	STK10_MOUSE	Stk10	Serine/threonine-protein kinase 10													225586	278818	253741	264528	253956	339444
O55100;O55100-2	O55100;O55100-2	SNG1_MOUSE	Syngr1	Synaptogyrin-1	2.8579e+06	1.85729e+06	2.24444e+06	1.31626e+06		432586	2.85646e+06	2.36648e+06	1.77065e+06	1.35208e+06		598157	790044	1.01494e+06	806553	534627	949233	475570
O55101	O55101	SNG2_MOUSE	Syngr2	Synaptogyrin-2	6.92446e+06	4.81112e+06	4.93595e+06	2.36217e+06	1.86844e+06	2.18893e+06	7.97913e+06	4.21889e+06	4.64531e+06	2.76334e+06	1.88007e+06	1.56897e+06	1.50834e+06	2.22758e+06	2.28023e+06	2.05949e+06	2.09342e+06	2.21543e+06
O55106	O55106	STRN_MOUSE	Strn	Striatin	2.4194e+06	2.31244e+06	2.09333e+06	2.31549e+06	2.8628e+06	2.72563e+06	2.7541e+06	2.05939e+06	1.9668e+06	2.78563e+06	3.22768e+06	2.93303e+06	3.0554e+06	3.5974e+06	3.89398e+06	3.61836e+06	3.64415e+06	3.83369e+06
O55125	O55125	NIPS1_MOUSE	Nipsnap1	Protein NipSnap homolog 1	4.46964e+07	5.44943e+07	6.22035e+07	3.80446e+07	5.22753e+07	6.58e+07	3.69335e+07	5.9015e+07	6.14847e+07	4.96467e+07	6.9658e+07	7.15696e+07	6.69369e+06	6.61311e+06	5.16669e+06	6.48841e+06	7.20521e+06	8.10961e+06
O55126	O55126	NIPS2_MOUSE	Nipsnap2	Protein NipSnap homolog 2	1.91042e+07	2.09373e+07	2.23956e+07	1.52169e+07	1.57746e+07	1.92146e+07	1.70526e+07	2.21878e+07	2.32039e+07	1.53219e+07	1.53126e+07	1.9202e+07	3.73759e+06	3.83981e+06	3.4827e+06	4.62061e+06	4.52261e+06	3.76401e+06
O55128	O55128	SAP18_MOUSE	Sap18	Histone deacetylase complex subunit SAP18	1.54421e+07	7.33219e+06	4.95792e+06	1.3503e+07	1.32446e+07	7.00932e+06	1.27772e+07	8.10391e+06	4.54757e+06	1.38799e+07	1.33125e+07	6.08888e+06	1.82536e+07	2.11245e+07	2.06474e+07	1.9157e+07	2.06179e+07	2.19777e+07
O55131	O55131	SEPT7_MOUSE	Septin7	Septin-7	1.27515e+07	6.74317e+06	8.62671e+06	6.36015e+06	3.70587e+06	2.49934e+06	1.17373e+07	6.95425e+06	9.16282e+06	6.32616e+06	4.06794e+06	2.62306e+06	2.83577e+07	2.59706e+07	2.75288e+07	2.75839e+07	2.57688e+07	2.72334e+07
O55135	O55135	IF6_MOUSE	Eif6	Eukaryotic translation initiation factor 6	1.19826e+08	2.83259e+07	2.71304e+07	8.97216e+07	8.33292e+07	2.32653e+07	1.13338e+08	3.05159e+07	2.72867e+07	9.13353e+07	8.21e+07	2.1886e+07	1.90149e+07	1.83037e+07	2.08263e+07	1.93314e+07	2.00549e+07	1.98764e+07
O55142	O55142	RL35A_MOUSE	Rpl35a	60S ribosomal protein L35a	7.03945e+07	6.2157e+07	5.19626e+07	1.24395e+08	9.61753e+07	7.87132e+07	6.12923e+07	6.27865e+07	5.66425e+07	1.26439e+08	9.58457e+07	8.50329e+07	1.43498e+08	1.70571e+08	1.67124e+08	1.4697e+08	1.65647e+08	1.64621e+08
O55143	O55143;O55143-2	AT2A2_MOUSE	Atp2a2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	3.58604e+07	3.87503e+07	3.6394e+07	4.39474e+07	5.21803e+07	5.55928e+07	3.26634e+07	3.91592e+07	3.52902e+07	4.58624e+07	5.23694e+07	5.50629e+07	2.56109e+07	2.66805e+07	2.43833e+07	2.67228e+07	2.67914e+07	2.53732e+07
O55187	O55187;O55187-2	CBX4_MOUSE	Cbx4	E3 SUMO-protein ligase CBX4	1.52819e+06	357519	226308	2.53089e+06	2.57861e+06	423065		407114		3.46201e+06	2.36575e+06	769178	1.6302e+06	2.23585e+06	1.60678e+06	1.33253e+06	1.87693e+06	1.68398e+06
O55201	O55201;O55201-2	SPT5H_MOUSE	Supt5h	Transcription elongation factor SPT5	1.29484e+06	515154	298793	1.71364e+06	1.31098e+06	759497	1.0388e+06	361388	276836	2.02334e+06	1.22334e+06	625486	5.55343e+06	5.02893e+06	5.26285e+06	5.46989e+06	4.70123e+06	5.18225e+06
O55222	O55222	ILK_MOUSE	Ilk	Integrin-linked protein kinase	4.50621e+06	2.44944e+06	2.76811e+06	5.16211e+06	3.78944e+06	1.44195e+06	4.09829e+06	2.30618e+06	2.19552e+06	5.84284e+06	3.82139e+06	1.33124e+06	1.15693e+07	1.02331e+07	1.11708e+07	1.24934e+07	1.01764e+07	1.13938e+07
O55234	O55234	PSB5_MOUSE	Psmb5	Proteasome subunit beta type-5	8.87617e+06	6.64753e+06	5.45371e+06	1.17268e+07	4.13769e+06	3.63541e+06	8.97923e+06	7.06303e+06	5.46508e+06	1.18207e+07	4.66815e+06	3.86042e+06	4.54216e+07	4.26017e+07	4.76731e+07	4.79736e+07	4.50361e+07	4.99439e+07
O55236	O55236	MCE1_MOUSE	Rngtt	mRNA-capping enzyme	1.86882e+06	852244	867651	3.00535e+06	2.25717e+06	951107	1.6321e+06	1.09756e+06	916187	3.03032e+06	2.18591e+06	953801	1.09651e+06	740168	810203	981692	822338	963544
O55242;O55242-2	O55242;O55242-2	SGMR1_MOUSE	Sigmar1	Sigma non-opioid intracellular receptor 1	5.90678e+06	6.71632e+06	5.36477e+06	8.43758e+06	8.96876e+06	9.53938e+06	5.10914e+06	6.10185e+06	5.20745e+06	7.87801e+06	7.80133e+06	9.08401e+06	4.61051e+06	4.53277e+06	4.10784e+06	4.07517e+06	4.45518e+06	3.99323e+06
O70126	O70126	AURKB_MOUSE	Aurkb	Aurora kinase B	5.92553e+06	2.27202e+06	1.28432e+06	1.46178e+07	9.9957e+06	2.92282e+06	6.27104e+06	2.04875e+06	1.2709e+06	1.49331e+07	1.01528e+07	3.05904e+06	3.35452e+06	3.55096e+06	3.22789e+06	3.47384e+06	3.14204e+06	3.12185e+06
O70126;P97477;P97477-2	O70126;P97477;P97477-2	AURKA_MOUSE;AURKB_MOUSE	Aurka;Aurkb	Aurora kinase B	8.07978e+06	3.52627e+06	2.84303e+06	1.84949e+07	1.06728e+07	3.92133e+06	5.65823e+06	3.36723e+06	3.05362e+06	1.7772e+07	1.042e+07	3.69875e+06	4.07446e+06	3.83059e+06	4.23182e+06	4.33541e+06	4.11133e+06	4.07522e+06
O70133-2	O70133;O70133-2	DHX9_MOUSE	Dhx9	Isoform 2 of ATP-dependent RNA helicase A	3.53999e+07	1.81474e+07	1.09513e+07	4.81859e+07	4.34698e+07	2.01466e+07	3.34824e+07	1.77759e+07	1.02494e+07	5.04033e+07	4.45759e+07	1.88654e+07	6.50901e+07	6.79909e+07	6.32415e+07	6.5765e+07	6.79162e+07	6.32888e+07
O70152	O70152	DPM1_MOUSE	Dpm1	Dolichol-phosphate mannosyltransferase subunit 1	1.81007e+07	2.22465e+07	1.81258e+07	3.10163e+07	3.03587e+07	3.17132e+07	1.68128e+07	2.18012e+07	1.77209e+07	3.15886e+07	2.98644e+07	3.19917e+07	1.38934e+07	1.49186e+07	1.40388e+07	1.32857e+07	1.49141e+07	1.36087e+07
O70157	O70157	TOP3A_MOUSE	Top3a	DNA topoisomerase 3-alpha	580661	731869	773636	539474	734018	656396	2.01882e+06	703269	748706	373276	719505	733345	380967	428084	346715	419123	365337	442625
O70161;O70161-3	O70161;O70161-2;O70161-3	PI51C_MOUSE	Pip5k1c	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma			339309										390483	247327	367812		314221	376041
O70161;O70161-3;P70182;P70182-3	O70161;O70161-2;O70161-3;P70182;P70182-2;P70182-3	PI51A_MOUSE;PI51C_MOUSE	Pip5k1a;Pip5k1c	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	1.61763e+06	991525	1.34221e+06	2.66157e+06	1.17012e+06	968074	1.19158e+06	992396	1.1745e+06	2.62993e+06	1.45481e+06	1.16685e+06	1.99589e+06	1.78488e+06	1.98049e+06	1.85989e+06	1.91767e+06	1.90237e+06
O70194	O70194	EIF3D_MOUSE	Eif3d	Eukaryotic translation initiation factor 3 subunit D	1.51088e+07	9.44705e+06	8.77816e+06	1.03573e+07	8.58085e+06	8.30249e+06	1.35743e+07	1.01808e+07	9.1303e+06	1.0375e+07	9.05035e+06	8.27345e+06	2.73917e+07	2.53701e+07	2.48026e+07	2.77215e+07	2.48207e+07	2.62736e+07
O70230;O70230-2;O70230-3	O70230;O70230-2;O70230-3	ZN143_MOUSE	Znf143	Zinc finger protein 143	217639	139599			154392		607172		100384				660366	766378	589814	636943	552972	715248
O70251	O70251	EF1B_MOUSE	Eef1b	Elongation factor 1-beta	1.10991e+07	1.47418e+07	1.43474e+07	1.33384e+07	8.3267e+06	1.28701e+07	9.65135e+06	1.36418e+07	1.37829e+07	1.3618e+07	8.16026e+06	1.32111e+07	4.53949e+07	5.41975e+07	6.47044e+07	4.94463e+07	5.25597e+07	6.54435e+07
O70252	O70252	HMOX2_MOUSE	Hmox2	Heme oxygenase 2	1.28945e+07	1.47459e+07	1.32478e+07	1.77295e+07	1.86247e+07	2.1937e+07	1.27715e+07	1.61167e+07	1.34069e+07	1.82296e+07	1.81107e+07	2.25225e+07	9.22649e+06	1.02917e+07	9.99328e+06	9.27374e+06	9.28791e+06	9.23421e+06
O70258;O70258-2	O70258;O70258-2	SGCE_MOUSE	Sgce	Epsilon-sarcoglycan	2.41273e+06	1.80474e+06	1.91928e+06	487151	318458	524571		1.74244e+06	2.00008e+06	482102	420045	266899	773342	1.39347e+06	1.17089e+06	1.05786e+06	1.20346e+06	1.2222e+06
O70274	O70274	TP4A2_MOUSE	Ptp4a2	Protein tyrosine phosphatase type IVA 2	567297		320640		182789	110139	446030	326087	353404		232917	166087	750961	854030	966291	813172	688354	911311
O70274;Q63739	O70274;Q63739	TP4A1_MOUSE;TP4A2_MOUSE	Ptp4a1;Ptp4a2	Protein tyrosine phosphatase type IVA 2	1.49061e+06	623810	1.03489e+06	1.1229e+06	269616		2.02902e+06	1.35966e+06	1.05861e+06	1.11026e+06		877493	2.67583e+06	2.39615e+06	2.68729e+06	2.10875e+06	2.61387e+06	2.61438e+06
O70279	O70279	ESS2_MOUSE	Ess2	Splicing factor ESS-2 homolog	273996										181994		428391	509883	421086	511483	473280	433947
O70281	O70281	TPST1_MOUSE	Tpst1	Protein-tyrosine sulfotransferase 1	2.87532e+06	699081	529563	1.11956e+06	493548	625138	2.00426e+06	1.35662e+06	856370	1.6444e+06	507279	424826	692706	377225	652909	468943	465024	589102
O70293-2	O70293;O70293-2	GRK6_MOUSE	Grk6	Isoform GRK6B of G protein-coupled receptor kinase 6	2.14398e+06	648858	1.03256e+06	909349	733418	394742	1.63699e+06	916380	907777	1.95997e+06	1.11761e+06		1.9537e+06	1.36921e+06	1.56296e+06	1.52084e+06	1.72013e+06	1.56593e+06
O70305	O70305	ATX2_MOUSE	Atxn2	Ataxin-2	2.20698e+06	1.81663e+06	1.80929e+06	1.78785e+06	1.65641e+06	2.15902e+06	2.11049e+06	1.90688e+06	1.78708e+06	1.94286e+06	1.49679e+06	1.45169e+06	6.05449e+06	5.39278e+06	5.91769e+06	5.89971e+06	5.62493e+06	6.12136e+06
O70306	O70306;Q9EPZ6	TBX15_MOUSE	Tbx15	T-box transcription factor TBX15	1.73368e+06	532895	378228	2.06783e+06	713408	141531	1.52081e+06	789832	508276	953358	789833	615172	2.89283e+06	2.15926e+06	2.41691e+06	2.6954e+06	2.25792e+06	2.37249e+06
O70309	O70309;O70309-2	ITB5_MOUSE	Itgb5	Integrin beta-5	4.22845e+06	2.68616e+06	3.20167e+06	1.97119e+06	2.18741e+06	1.82018e+06	3.58209e+06	2.97786e+06	2.91762e+06	2.03074e+06	1.61423e+06	1.78182e+06	2.30149e+06	2.73449e+06	2.47185e+06	2.3665e+06	2.71055e+06	2.47482e+06
O70310	O70310	NMT1_MOUSE	Nmt1	Glycylpeptide N-tetradecanoyltransferase 1	1.03195e+06	469164	332488	1.98417e+06	1.21774e+06	827023	1.42296e+06	331898	283289	2.09653e+06	1.3459e+06	689294	7.52785e+06	7.47997e+06	7.45446e+06	7.30439e+06	7.5095e+06	7.52058e+06
O70310;O70311	O70311;O70310	NMT1_MOUSE;NMT2_MOUSE	Nmt1;Nmt2	Glycylpeptide N-tetradecanoyltransferase 1	4.32506e+06	1.93955e+06	1.30693e+06	8.55639e+06	4.06108e+06	1.43901e+06	3.4966e+06	1.88385e+06	1.4401e+06	5.24493e+06	4.72644e+06		1.87857e+07	2.45786e+07	2.14997e+07	1.90968e+07	2.23671e+07	2.00531e+07
O70311	O70311	NMT2_MOUSE	Nmt2	Glycylpeptide N-tetradecanoyltransferase 2	612555	215253	139425	1.72768e+06	847852	352702	954243	305003	100899	1.64323e+06	972931	297975	2.97901e+06	3.19604e+06	2.80519e+06	3.25071e+06	3.06547e+06	2.81465e+06
O70318	O70318	E41L2_MOUSE	Epb41l2	Band 4.1-like protein 2	1.30194e+07	1.0229e+07	1.10602e+07	1.07205e+07	6.89715e+06	6.2897e+06	1.16636e+07	1.02318e+07	1.12575e+07	1.1402e+07	7.40864e+06	6.15723e+06	1.45059e+07	1.5593e+07	1.51234e+07	1.46208e+07	1.55101e+07	1.5406e+07
O70318;Q9WV92;Q9WV92-2;Q9WV92-3;Q9WV92-7	O70318;Q9WV92;Q9WV92-2;Q9WV92-3;Q9WV92-4;Q9WV92-5;Q9WV92-6;Q9WV92-7;Q9WV92-8	E41L2_MOUSE;E41L3_MOUSE	Epb41l2;Epb41l3	Band 4.1-like protein 2	1.77529e+07	8.92164e+06	1.02774e+07	1.83427e+07	9.88954e+06	6.87835e+06	1.31917e+07	5.60701e+06	9.94729e+06	1.66483e+07	9.38208e+06	5.99855e+06	1.46551e+07	1.55782e+07	1.47562e+07	1.74866e+07	1.62709e+07	1.49701e+07
O70318;Q9WV92;Q9WV92-2;Q9WV92-3;Q9WV92-7;Q9Z2H5-2;Q9Z2H5-3	Q9Z2H5;Q9Z2H5-2;Q9Z2H5-3;O70318;Q9WV92;Q9WV92-2;Q9WV92-3;Q9WV92-4;Q9WV92-5;Q9WV92-6;Q9WV92-7;Q9WV92-8	E41L1_MOUSE;E41L2_MOUSE;E41L3_MOUSE	Epb41l1;Epb41l2;Epb41l3	Band 4.1-like protein 2	1.38678e+06	1.12645e+06	1.50387e+06	1.21921e+06	1.05796e+06	969038	1.2829e+06	1.12684e+06	1.55783e+06	1.57736e+06	958319	715923	1.44143e+06	1.27495e+06	1.53114e+06	1.49808e+06	1.37356e+06	1.50184e+06
O70325;O70325-2;O70325-3	O70325;O70325-2;O70325-3	GPX4_MOUSE	Gpx4	Phospholipid hydroperoxide glutathione peroxidase	2.14409e+06	1.68333e+06	1.76114e+06	513608	1.67932e+06	1.48433e+06	2.81665e+06	1.49497e+06	1.84095e+06	1.1463e+06	1.39744e+06	1.1884e+06	2.45679e+06	1.67244e+06	2.00298e+06	2.51826e+06	1.40561e+06	1.82989e+06
O70326	O70326	GREM1_MOUSE	Grem1	Gremlin-1	2.81645e+07	1.21633e+07	1.23154e+07	7.56491e+06	4.19458e+06	6.41928e+06	2.25357e+07	1.11614e+07	1.17616e+07			3.13305e+06	2.2542e+06	2.35882e+06	1.61924e+06	2.2816e+06	2.17296e+06	1.96113e+06
O70333	O70333	CRIPT_MOUSE	Cript	Cysteine-rich PDZ-binding protein	8.43605e+06	1.48793e+06	1.52105e+06	6.0294e+06	6.39772e+06	1.59387e+06	6.6118e+06	1.6886e+06	1.07772e+06	6.43538e+06	7.05681e+06	1.12415e+06	2.39362e+06	1.7035e+06	2.01556e+06	2.01815e+06	2.12136e+06	2.46353e+06
O70338	O70338	RNH1_MOUSE	Rnaseh1	Ribonuclease H1	6.66252e+06	3.85542e+06	3.66343e+06	7.73144e+06	5.96723e+06	3.16228e+06	6.95991e+06	4.23145e+06	2.9533e+06	7.70814e+06	5.3132e+06	3.22174e+06	4.17264e+06	3.86175e+06	3.87055e+06	3.83948e+06	4.17986e+06	3.57987e+06
O70348	O70348	DXO_MOUSE	Dxo	Decapping and exoribonuclease protein													701904	474632	706336	655395	432642	632660
O70378	O70378	EMC8_MOUSE	Emc8	ER membrane protein complex subunit 8	6.50396e+06	9.81881e+06	1.05622e+07	8.2244e+06	9.80664e+06	1.42693e+07	4.28531e+06	1.00825e+07	1.02294e+07	8.92111e+06	9.63804e+06	1.60918e+07	6.24947e+06	7.42905e+06	7.55795e+06	6.24906e+06	7.77456e+06	7.13577e+06
